filename,volume,date,prob_topic_id_0,prob_topic_id_1,prob_topic_id_2,prob_topic_id_3,prob_topic_id_4,prob_topic_id_5,prob_topic_id_6,prob_topic_id_7,prob_topic_id_8,prob_topic_id_9,prob_topic_id_10,prob_topic_id_11,prob_topic_id_12,prob_topic_id_13,prob_topic_id_14,prob_topic_id_15,prob_topic_id_16,prob_topic_id_17,prob_topic_id_18,prob_topic_id_19,prob_topic_id_20,prob_topic_id_21,prob_topic_id_22,prob_topic_id_23,prob_topic_id_24,prob_topic_id_25,prob_topic_id_26,prob_topic_id_27,prob_topic_id_28,prob_topic_id_29,prob_topic_id_30,prob_topic_id_31
Vol.48_2017年3月28日 配信.txt,48,2017年3月28日,1.4367816091978986e-05,1.4367816091974141e-05,1.4367816091977851e-05,1.436781609197767e-05,1.4367816091976128e-05,1.4367816091974358e-05,1.4367816091976005e-05,1.436781609197595e-05,1.436781609197586e-05,1.4367816091976489e-05,1.4367816091974141e-05,1.436781609197691e-05,1.4367816091976782e-05,1.4367816091976718e-05,1.4367816091977277e-05,1.4367816091976616e-05,1.4367816091974141e-05,1.4367816091974141e-05,1.4367816091979281e-05,1.436781609197588e-05,1.4367816091974987e-05,1.4367816091975066e-05,1.4367816091974141e-05,1.4367816091976067e-05,1.4367816091974141e-05,1.4367816091974976e-05,1.4367816091977772e-05,0.9513477810876898,1.436781609197697e-05,1.4367816091975911e-05,1.4367816091976584e-05,0.04822118442955091
Vol.49_2017年4月4日 配信.txt,49,2017年4月4日,1.0116542570443953e-05,1.0116542570442899e-05,0.007427830849824527,1.0116542570444422e-05,0.005640016420886538,1.0116542570443786e-05,1.0116542570443958e-05,1.0116542570444193e-05,1.0116542570443786e-05,1.0116542570443793e-05,1.0116542570442899e-05,1.011654257044456e-05,1.011654257044481e-05,0.00938379489098208,0.7292227045947572,1.011654257044489e-05,1.0116542570442899e-05,1.0116542570442899e-05,1.0116542570444227e-05,1.0116542570444237e-05,1.0116542570443768e-05,1.011654257044322e-05,1.0116542570442899e-05,1.0116542570444506e-05,1.0116542570442899e-05,1.0116542570443609e-05,1.0116542570444437e-05,0.23996218993889074,1.0116542570444271e-05,1.0116542570443544e-05,1.0116542570444725e-05,0.008100433197827288
Vol.50_2017年4月11日 配信.txt,50,2017年4月11日,8.25191444418092e-06,8.251914444179854e-06,8.251914444181006e-06,8.251914444180974e-06,8.251914444181268e-06,8.251914444179932e-06,8.251914444180972e-06,8.251914444181169e-06,8.251914444180677e-06,8.251914444180801e-06,8.251914444179854e-06,8.251914444180947e-06,8.251914444181218e-06,0.0016435734260777737,8.25191444418136e-06,8.25191444418134e-06,8.251914444179854e-06,8.251914444179854e-06,8.251914444181204e-06,8.251914444181243e-06,8.251914444182046e-06,8.25191444418063e-06,8.251914444179854e-06,8.251914444180664e-06,8.251914444179854e-06,8.25191444418044e-06,8.251914444182215e-06,0.997539447616562,8.251914444181085e-06,8.25191444418064e-06,8.251914444181238e-06,0.0005776734384790282
Vol.51_2017年4月18日 配信.txt,51,2017年4月18日,0.9994100182704017,1.9031668696716073e-05,1.903166869671821e-05,1.9031668696717723e-05,1.903166869671828e-05,1.903166869671611e-05,1.9031668696717774e-05,1.9031668696718116e-05,1.9031668696717903e-05,1.9031668696718313e-05,1.9031668696716073e-05,1.9031668696718886e-05,1.903166869671866e-05,1.9031668696718638e-05,1.903166869671833e-05,1.9031668696718628e-05,1.9031668696716073e-05,1.9031668696716073e-05,1.903166869671816e-05,1.9031668696718184e-05,1.9031668696717117e-05,1.903166869671706e-05,1.9031668696716073e-05,1.90316686967173e-05,1.9031668696716073e-05,1.903166869671672e-05,1.9031668696910542e-05,1.9031668696718367e-05,1.903166869671809e-05,1.903166869671739e-05,1.903166869671816e-05,1.9031668696718435e-05
Vol.52_2017年4月25日 配信.txt,52,2017年4月25日,0.010924572085476817,1.0949544498970026e-05,1.094954449897191e-05,1.0949544498972223e-05,1.0949544498971901e-05,1.0949544498970165e-05,1.0949544498971921e-05,1.0949544498972538e-05,1.0949544498973065e-05,1.0949544498971815e-05,1.0949544498970026e-05,0.02601731320475531,0.007810791225283845,1.0949544498972474e-05,0.05912590763276343,1.0949544498973007e-05,1.0949544498970026e-05,1.0949544498970026e-05,1.0949544498972253e-05,1.0949544498972214e-05,1.094954449897287e-05,1.0949544498971144e-05,1.0949544498970026e-05,1.0949544498971552e-05,1.0949544498970026e-05,1.0949544498970214e-05,0.8919768494847731,1.0949544498971655e-05,1.0949544498971991e-05,0.0038598782099742534,1.0949544498971977e-05,1.0949544498972304e-05
Vol.53_2017年5月2日 配信.txt,53,2017年5月2日,9.854935351633197e-06,9.854935351631578e-06,9.854935351633045e-06,9.854935351632515e-06,9.85493535163298e-06,9.854935351631774e-06,9.854935351632948e-06,9.854935351632642e-06,9.854935351632823e-06,9.85493535163283e-06,9.854935351631578e-06,9.85493535171447e-06,9.854935351633167e-06,9.854935351633124e-06,9.854935351633023e-06,9.854935351633046e-06,9.854935351631578e-06,9.854935351631578e-06,9.854935351632757e-06,9.854935351633121e-06,9.854935351632328e-06,9.854935351632318e-06,9.854935351631578e-06,9.854935351632526e-06,9.854935351631578e-06,9.854935351632227e-06,0.9996944970040993,9.85493535163319e-06,9.854935351632928e-06,9.854935351632659e-06,9.854935351633023e-06,9.854935351632958e-06
Vol.54_2017年5月16日 配信.txt,54,2017年5月16日,0.005604506510192662,1.778599886171511e-05,1.778599886171771e-05,0.07306226536011798,0.6770840140878593,1.778599886171576e-05,1.7785998861717507e-05,1.778599886171827e-05,1.7785998861719618e-05,1.778599886171876e-05,1.778599886171511e-05,1.77859988617194e-05,0.038347063528786626,1.7785998861719543e-05,1.7785998861718418e-05,1.778599886171883e-05,1.778599886171511e-05,1.778599886171511e-05,1.7785998861718083e-05,1.778599886171841e-05,1.778599886171719e-05,1.778599886171811e-05,1.778599886171511e-05,1.7785998861717083e-05,1.778599886171511e-05,0.0015843639778262643,0.1342085806484825,1.7785998861718178e-05,1.7785998861718015e-05,1.7785998861717805e-05,1.7785998861717602e-05,0.06966455591519168
Vol.55_2017年5月23日 配信.txt,55,2017年5月23日,1.2760310330756447e-05,1.2760310330754883e-05,1.2760310330756653e-05,1.2760310330756357e-05,1.2760310330756455e-05,1.2760310330755163e-05,0.002080885568814882,1.2760310330756624e-05,1.2760310330756042e-05,1.2760310330755949e-05,1.2760310330754883e-05,1.2760310330756357e-05,1.2760310330756792e-05,1.2760310330756867e-05,1.2760310330756608e-05,1.2760310330756855e-05,1.2760310330754883e-05,1.2760310330754883e-05,1.2760310330756565e-05,1.276031033075629e-05,1.27603103307557e-05,1.2760310330755301e-05,1.2760310330754883e-05,1.2760310330756138e-05,1.2760310330754883e-05,1.2760310330755254e-05,1.2760310330756564e-05,1.2760310330756772e-05,0.9975363051212625,1.2760310330756084e-05,1.2760310330756843e-05,1.2760310330756799e-05
Vol.56_2017年5月30日 配信.txt,56,2017年5月30日,1.446759259261695e-05,1.4467592592614259e-05,1.4467592592617772e-05,1.4467592592617184e-05,1.4467592592617223e-05,1.4467592592614669e-05,1.4467592592617005e-05,1.4467592592617477e-05,1.4467592592616493e-05,1.446759259261827e-05,1.4467592592614259e-05,1.4467592592616994e-05,1.4467592592617762e-05,1.4467592592617947e-05,0.9690269925698697,1.4467592592617962e-05,1.4467592592614259e-05,1.4467592592614259e-05,1.4467592592616922e-05,1.4467592592616657e-05,1.4467592592616864e-05,1.4467592592615373e-05,1.4467592592614259e-05,1.4467592592616832e-05,1.4467592592614259e-05,1.446759259261536e-05,1.4467592592616922e-05,1.4467592592617127e-05,1.4467592592616857e-05,1.446759259261594e-05,0.030538979652351833,1.4467592592617259e-05
Vol.57_2017年6月6日 配信.txt,57,2017年6月6日,3.039883268485272e-05,3.0398832684849176e-05,3.0398832684856345e-05,3.039883268485409e-05,3.0398832684854366e-05,3.0398832684849498e-05,0.5155162818305906,3.0398832684853746e-05,3.0398832684853286e-05,3.0398832684852032e-05,3.0398832684849176e-05,3.0398832684853143e-05,3.0398832684853777e-05,3.039883268485633e-05,0.10358564228232434,3.0398832684854858e-05,3.0398832684849176e-05,3.0398832684849176e-05,3.039883268485326e-05,3.0398832684854448e-05,3.039883268485268e-05,3.0398832684850592e-05,3.0398832684849176e-05,3.0398832684853624e-05,3.0398832684849176e-05,3.0398832684850924e-05,3.0398832684853645e-05,3.0398832684855074e-05,0.38001650973922424,3.039883268485287e-05,3.0398832684855674e-05,3.039883268485338e-05
Vol.58_2017年6月13日 配信.txt,58,2017年6月13日,1.699293094073853e-05,1.699293094073668e-05,1.6992930940738627e-05,1.6992930940738213e-05,1.69929309407386e-05,1.6992930940736807e-05,0.9994732191408372,1.6992930940738576e-05,1.699293094073792e-05,1.699293094073873e-05,1.699293094073668e-05,1.6992930940738593e-05,1.6992930940739216e-05,1.699293094073901e-05,1.6992930940739067e-05,1.6992930940739362e-05,1.699293094073668e-05,1.699293094073668e-05,1.6992930940739067e-05,1.6992930940739274e-05,1.6992930940738274e-05,1.69929309407377e-05,1.699293094073668e-05,1.6992930940738698e-05,1.699293094073668e-05,1.699293094073718e-05,1.6992930940738745e-05,1.6992930940738864e-05,1.699293094073876e-05,1.6992930940737942e-05,1.6992930940738972e-05,1.6992930940739413e-05
Vol.59_2017年6月20日 配信.txt,59,2017年6月20日,1.3833554670212804e-05,1.3833554670211413e-05,0.9995711598052235,1.3833554670212592e-05,1.383355467021273e-05,1.3833554670211531e-05,1.3833554670212517e-05,1.3833554670212766e-05,1.38335546702126e-05,1.3833554670212815e-05,1.3833554670211413e-05,1.383355467021284e-05,1.3833554670213046e-05,1.383355467021311e-05,1.3833554670213007e-05,1.3833554670285992e-05,1.3833554670211413e-05,1.3833554670211413e-05,1.3833554670212997e-05,1.3833554670212912e-05,1.3833554670212187e-05,1.3833554670211931e-05,1.3833554670211413e-05,1.3833554670212433e-05,1.3833554670211413e-05,1.3833554670211708e-05,1.3833554670212912e-05,1.3833554670212905e-05,1.383355467021272e-05,1.3833554670212422e-05,1.3833554670212826e-05,1.3833554670213864e-05
Vol.60_2017年6月27日 配信.txt,60,2017年6月27日,2.2241992882592298e-05,2.2241992882589255e-05,2.2241992882592986e-05,2.2241992882593823e-05,2.2241992882592633e-05,2.2241992882589405e-05,2.224199288259271e-05,2.2241992882592257e-05,2.2241992882592742e-05,2.2241992882593948e-05,2.2241992882589255e-05,2.2241992882592356e-05,2.2241992882593745e-05,0.06763437787712077,2.224199288259353e-05,0.8719594173293093,2.2241992882589255e-05,2.2241992882589255e-05,2.224199288259286e-05,2.224199288259217e-05,2.224199288259656e-05,2.224199288258971e-05,2.2241992882589255e-05,2.2241992882591454e-05,2.2241992882589255e-05,2.2241992882590045e-05,2.2241992882593335e-05,2.2241992882592904e-05,2.224199288259323e-05,2.2241992882590726e-05,0.05976118699997491,2.2241992882593477e-05
Vol.61_2017年7月4日 配信.txt,61,2017年7月4日,1.4952153110068883e-05,1.4952153110067246e-05,1.4952153110068903e-05,1.4952153121785439e-05,1.495215311006948e-05,1.495215311006729e-05,1.4952153110069553e-05,1.4952153110069027e-05,1.4952153110068847e-05,1.4952153110068788e-05,1.4952153110067246e-05,1.4952153110068803e-05,1.4952153110069789e-05,0.9995364832535761,1.495215311006959e-05,1.4952153110070228e-05,1.4952153110067246e-05,1.4952153110067246e-05,1.4952153110068996e-05,1.4952153110068688e-05,1.4952153110068823e-05,1.4952153110067692e-05,1.4952153110067246e-05,1.4952153110068217e-05,1.4952153110067246e-05,1.4952153110068478e-05,1.4952153110069796e-05,1.4952153110069411e-05,1.4952153110069252e-05,1.4952153110068107e-05,1.4952153110070424e-05,1.4952153110069484e-05
Vol.62_2017年7月11日 配信.txt,62,2017年7月11日,1.727473742403119e-05,1.7274737424029186e-05,1.727473742403157e-05,1.727473742403382e-05,1.727473742403135e-05,1.7274737424029403e-05,1.7274737424031484e-05,1.7274737424031412e-05,1.7274737424034543e-05,1.7274737424030918e-05,1.7274737424029186e-05,1.7274737424031548e-05,1.727473742403204e-05,0.9718011734488801,1.7274737424032226e-05,1.7274737424032686e-05,1.7274737424029186e-05,1.7274737424029186e-05,1.7274737424031406e-05,1.727473742403114e-05,1.7274737424030792e-05,1.7274737424030552e-05,1.7274737424029186e-05,1.7274737424030277e-05,1.7274737424029186e-05,1.7274737424029827e-05,1.7274737424031863e-05,1.727473742403182e-05,1.727473742403167e-05,1.727473742403037e-05,1.7274737424032822e-05,0.02768058442839897
